Country,Proj_Area,District,Cluster,Village,Group_Name,date_registered,Groups,Trees
KE,Mara,Kenya - Narok South,Kuto,Koitamugul,KOITAMUGUL C ENVIRONMENT,11/07/2021 21:04,1,272
KE,Mara,Kenya - Narok South,Kutete,Koitamugul,TULIWET A,11/07/2021 21:04,1,287
KE,Mara,Kenya - Narok South,Kutete,KUTETE,AMANI GRP,11/07/2021 21:04,1,208
KE,Mara,Kenya - Narok South,Kutete,KUTETE,BARIT B,11/07/2021 21:04,1,61
KE,Mara,Kenya - Narok South,Kutete,KUTETE,TUYOBEI,11/07/2021 21:04,1,305
KE,Mara,Kenya - Narok South,Kutete,Kuto,KIMENDERIT,11/07/2021 21:04,1,159
KE,Mara,Kenya - Narok South,Kutete,MOSIMOWO,KOIROTWET,11/07/2021 21:04,1,90
UG,Gulu,Uganda - Gulu,Omel,Omel A,WA YUBU CERE,11/07/2021 21:04,1,391
UG,Amuru,Uganda - Amuru,Okidi,Pukal,Apany tree planting,11/07/2021 21:04,1,242
KE,Mara,Kenya - Narok South,Kutete,RONGENA,BENDITAI,11/07/2021 21:04,1,391
KE,Mara,Kenya - Narok South,Kutete,RONGENA,BIRIRMET,11/07/2021 21:04,1,35
KE,Mara,Kenya - Narok South,Kutete,RONGENA,EMITIOT RONGENA,11/07/2021 21:04,1,75
KE,Mara,Kenya - Narok South,Kutete,RONGENA,KELIOT GRP,11/07/2021 21:04,1,181
KE,Mara,Kenya - Narok South,Kutete,RONGENA,NYALILIET GRP,11/07/2021 21:04,1,110
KE,Mara,Kenya - Narok South,Kuto,Sigirok,LEGERI,11/07/2021 21:04,1,279
KE,Mara,Kenya - Narok South,Kuto,Sigirok,SIGIROK CENTRAL,11/07/2021 21:04,1,158
KE,Mara,Kenya - Narok South,Kuto,Sigirok,SIGIROK EAST,11/07/2021 21:04,1,131
KE,Mara,Kenya - Narok South,Kuto,Sigirok,SIGIROK NORTH,11/07/2021 21:04,1,153
KE,Mara,Kenya - Narok South,Kutete,Usonik,USONIK A,11/07/2021 21:04,1,316
UG,Rukungiri,Rukungiri,Nyarushanje,Bikongozo,Godius and sons tp,11/06/2021 09:16,1,7537
UG,Gulu,Uganda - Gulu,Paicho,Corner ward,Mak Tic C,11/06/2021 09:16,1,1523
UG,Kanungu,Uganda - Kanungu,Kanungu,Kashenyi,Kashenyi Tree Planting Group,11/06/2021 09:16,1,1204
UG,Rukungiri,Rukungiri,Nyarushanje,Karukata,Tubehamwe group,11/05/2021 12:21,1,2448
UG,Soroti,Soroti,Odungura,Morubany,GOOD HOPE,11/05/2021 12:21,1,225
UG,Kayunga,Uganda - Kayunga,Kasana,Wabusonko,WABUSONKO TREE PLANTERS A,11/05/2021 12:21,1,23
KE,Nanyuki,Kenya - Nyandarua,Raichiri Podo,Raichiri,Bahati,11/05/2021 08:39,1,579
KE,Nanyuki,Kenya - Nyandarua,Raichiri Podo,Raichiri,Redcedar group,11/05/2021 08:39,1,454
UG,Kanungu,Uganda - Kanungu,Katojo,Biizi,Buhumuroro group tukore,11/05/2021 07:11,1,1078
UG,Kanungu,Uganda - Kanungu,Katojo,Biizi,Muburimbe tree project,11/05/2021 07:11,1,1826
