Country,Proj_Area,District,Cluster,Village,Group_Name,date_registered,Groups,Trees,Date,Year_Enroled
UG,Soroti,Soroti,Obule,Osikai,24112,12/26/2022 22:37,1,161,2022-12-26 22:37:00 UTC,2022
UG,Kabale,Uganda - Kabale,Hamurwa,Rwakaraba,19983,12/26/2022 22:37,1,3653,2022-12-26 22:37:00 UTC,2022
KE,Nanyuki,Kenya - Nyandarua,Boiman,Gituamba,38843,12/26/2022 22:37,1,1028,2022-12-26 22:37:00 UTC,2022
KE,Nanyuki,Kenya - Laikipia West,Karandi,Mikima,30311,12/26/2022 22:37,1,129,2022-12-26 22:37:00 UTC,2022
KE,Nanyuki,Kenya - Laikipia West,Karandi,Mikima,18854,12/26/2022 22:37,1,81,2022-12-26 22:37:00 UTC,2022
KE,Nanyuki,Kenya - Laikipia West,Karandi,Mikima,18590,12/26/2022 22:37,1,41,2022-12-26 22:37:00 UTC,2022
KE,Meru,Tigania,Ankamia,Mu,24728,04/12/2021 10:58,1,973,2021-04-12 10:58:00 UTC,2021
KE,Meru,Tigania,Ankamia,Ankamia,11528,04/05/2021 06:50,1,777,2021-04-05 06:50:00 UTC,2021
KE,Meru,Tigania,Ankamia,Ankamia,15039,3/25/2021 7:21,1,1565,2021-03-25 07:21:00 UTC,2021
KE,Meru,Tigania East,Ankamia,Mutumbi,11403,3/25/2021 7:21,1,642,2021-03-25 07:21:00 UTC,2021
UG,Gulu,Uganda - Gulu,Gwenydia,Aleda,15547,12/24/2022 22:34,1,169,2022-12-24 22:34:00 UTC,2022
KE,Nanyuki,Kenya - Manga,chomo,GATEI,14482,12/24/2022 22:34,1,309,2022-12-24 22:34:00 UTC,2022
KE,Nanyuki,Kenya - Manga,chomo,GATEI,38324,12/24/2022 22:34,1,200,2022-12-24 22:34:00 UTC,2022
KE,Nanyuki,Kenya - Manga,chomo,GATEI,38819,12/24/2022 22:34,1,269,2022-12-24 22:34:00 UTC,2022
KE,Nanyuki,Kenya - Manga,chomo,GATEI,25799,12/24/2022 22:34,1,101,2022-12-24 22:34:00 UTC,2022
KE,Nanyuki,Kenya - Manga,chomo,GATEI,35914,12/24/2022 22:34,1,257,2022-12-24 22:34:00 UTC,2022
