Country,Proj_Area,District,Cluster,Village,Group_Name,date_registered,Groups,Trees,Date,Year_Enroled
KE,Nanyuki,Kenya - Nyeri North,Itangini,Gakawa,24023,11/27/2022 22:32,1,0,2022-11-27 22:32:00 UTC,2022
UG,Soroti,Soroti,Guya Guya,GuyaGuya,34438,11/27/2022 22:32,1,0,2022-11-27 22:32:00 UTC,2022
UG,Soroti,Soroti,Guya Guya,GuyaGuya,19109,11/27/2022 22:32,1,3,2022-11-27 22:32:00 UTC,2022
KE,Nanyuki,Kenya - Nyeri North,Itangini,Kwa huku,22195,11/27/2022 22:32,1,0,2022-11-27 22:32:00 UTC,2022
KE,Nanyuki,Kenya - Nyeri North,Itangini,Kwahuku,31228,11/27/2022 22:32,1,0,2022-11-27 22:32:00 UTC,2022
KE,Nanyuki,Kenya - Nyeri North,Itangini,Kwahuku,17070,11/27/2022 22:32,1,0,2022-11-27 22:32:00 UTC,2022
KE,Nanyuki,Kenya - Nyeri North,Itangini,Munyaka,30543,11/27/2022 22:32,1,0,2022-11-27 22:32:00 UTC,2022
UG,Soroti,Soroti,Katakwi,Obilikereta,13009,11/27/2022 22:32,1,0,2022-11-27 22:32:00 UTC,2022
UG,Soroti,Soroti,Guya Guya,Ongema,35137,11/27/2022 22:32,1,0,2022-11-27 22:32:00 UTC,2022
UG,Soroti,Soroti,Guya Guya,Oteketeke,29353,11/27/2022 22:32,1,28,2022-11-27 22:32:00 UTC,2022
UG,Soroti,Soroti,Guya Guya,Oteketeke,35004,11/27/2022 22:32,1,13,2022-11-27 22:32:00 UTC,2022
UG,Soroti,Soroti,Guya Guya,Oteketeke,16888,11/27/2022 22:32,1,38,2022-11-27 22:32:00 UTC,2022
UG,Soroti,Soroti,Obule,Angaro V,37528,11/26/2022 22:33,1,1653,2022-11-26 22:33:00 UTC,2022
KE,Meru,Igembe,Antuamuo,Auki,24145,3/14/2008 0:00,1,2001,2008-03-14 00:00:00 UTC,2008
KE,Meru,Igembe,Antubalinki,Athiru Gaiti,35427,10/04/2022 22:29,1,259,2022-10-04 22:29:00 UTC,2022
KE,Meru,Igembe,Antubalinki,IKINGO,17905,10/04/2022 22:29,1,251,2022-10-04 22:29:00 UTC,2022
UG,Bushenyi,Bushenyi,Rwajere,Burere,18941,11/25/2022 22:33,1,965,2022-11-25 22:33:00 UTC,2022
KE,Nanyuki,Kenya - Nyandarua,Boiman,Wahome dam,34494,11/25/2022 22:33,1,5743,2022-11-25 22:33:00 UTC,2022
UG,Bushenyi,Bushenyi,Kichwamba,Busonga,34687,11/24/2022 22:30,1,0,2022-11-24 22:30:00 UTC,2022
KE,Meru,Igembe,Antubalinki,IKINGO,20708,10/04/2022 22:29,1,301,2022-10-04 22:29:00 UTC,2022
UG,Amuru,Uganda - Amuru,Otorokume,Pakiri,32033,11/24/2022 22:30,1,258,2022-11-24 22:30:00 UTC,2022
UG,Amuru,Uganda - Amuru,Otorokume,Pakiri,33786,11/24/2022 22:30,1,902,2022-11-24 22:30:00 UTC,2022
UG,Amuru,Uganda - Amuru,Otorokume,Pakiri,35336,11/24/2022 22:30,1,2167,2022-11-24 22:30:00 UTC,2022
UG,Amuru,Uganda - Amuru,Otorokume,Pakiri,27198,11/24/2022 22:30,1,1201,2022-11-24 22:30:00 UTC,2022
KE,Nanyuki,Kenya - Manga,chomo,Kagio,17155,11/23/2022 22:30,1,55,2022-11-23 22:30:00 UTC,2022
KE,Nanyuki,Kenya - Manga,chomo,Kagio,24757,11/23/2022 22:30,1,34,2022-11-23 22:30:00 UTC,2022
KE,Nanyuki,Kenya - Manga,chomo,KIARIUA,31151,11/23/2022 22:30,1,43,2022-11-23 22:30:00 UTC,2022
KE,Nanyuki,Kenya - Manga,chomo,KIARIUA,26273,11/23/2022 22:30,1,46,2022-11-23 22:30:00 UTC,2022
KE,Meru,Igembe,Antubalinki,Kirimene,20704,10/04/2022 22:29,1,318,2022-10-04 22:29:00 UTC,2022
